Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,"Qty Ordered Last Year","Qty Ordered This Year",Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock,Filter
,0,BACI12439598-CA,6959,Baci Bag Milk 12x125g,Baci_Chocolate,3865,704,Label,113,159,134,405,202.75,386.834,,404.834,0,0,0,0,404.83,2.00,704,704,3/23/2026,1108.83,5.47,,1108.83,5.47,1800,g,.015057504,404.834,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Milk 12x125g,12439598,32.52,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,,Pantry,Chocolate,12,Retail  - Chocolate,839456005655,Yes,Yes,Yes,811,97,18,,1100,202.75,913,Black
,0,BACI12439610-CA,6960,Baci Box 12Pcs Milk 6x150g,Baci_Chocolate,7586,997,Label,190,783,13,311,324.25,94,,134,0,0,0,0,134,0.41,997,997,3/24/2026,1131.00,3.49,1300,2431.00,7.50,1100,g,.012614,134,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BOX 12Pcs Milk 6x150g,12439610,31.50,.000017,.0000265,.000028,17,26.5,28,364,100,72,2,50,,Pantry,Chocolate,6,Retail  - Chocolate,839456005433,Yes,Yes,Yes,1297,156,40,,875,324.25,1460,Black
,0,BACI12562416-CA,7049,Baci Box Original Sparkling - Blue -  20Pcs  10x250g,Baci_XMAS Chocolate,330,0,Label,0,0,0,0,No Movement,0,,0,0,0,0,0,0,,,,,0.00,,,0.00,,2350,g,.0096348,0,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BLUE Original Sparkling Box - 20Pcs  10x250g,12439537,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8000300425024,Yes,Yes,No,0,,0,10,180,No Movement,0,Black
,132.00,BACI12531696-CA,6967,Baci Bag Easter Mini Eggs Assorted 20x150g,Baci_Easter Chocolate,116,0,Label,5,113,0,0,29.50,1,,1,0,0,0,0,1,0.03,,,,1.00,0.03,,1.00,0.03,3300,g,.0219184,1,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci BAG Easter Mini Eggs Assorted 20x150g,12531696,47.00,.0000206,.0000266,.00004,20.6,26.6,40,364,100,45,2,50,,Seasonal,Chocolate,20,Retail - EASTER Chocolate,8000300352597,Yes,Yes,No,118,,0,,100,29.50,133,Red
,0,BACI12405295-CA,6953,Baci Bag Original Dark 12x125g,Baci_Chocolate,3689,1508,Label,61,81,55,478,168.75,0,,0,0,0,0,0,0,0.00,1508,1508,3/23/2026,1508.00,8.94,,1508.00,8.94,1800,g,.015057504,0,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BAG Original Dark 12x125g,12405295,32.52,.0000198,.0000196,.0000388,19.8,19.6,38.8,364,100,60,2,50,,Pantry,Chocolate,12,Retail  - Chocolate,839456005679,Yes,Yes,Yes,675,76,0,18,1100,168.75,760,Black
DEVIATION LABELING AND REPACKING,180.00,BACI12533587-CA,6970,Baci Egg Easter Milk 12x265g,Baci_Easter Chocolate,157,0,Label,14,116,30,0,40.00,0,,0,0,0,0,0,0,0.00,,,,0.00,0.00,,0.00,0.00,3300,g,.12551328,0,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Egg Easter Milk 12x265g,12533587,86.52,.000054,.0000398,.0000584,54,39.8,58.4,364,100,8,2,50,,Seasonal,Chocolate,12,Retail - EASTER Chocolate,8000300412284,Yes,Yes,Yes,160,28,0,,100,40.00,180,Red
,0,BACI12439386-CA,6956,Baci Bulk Original Dark 3x1Kg,Baci_Chocolate,120,120,Label,72,52,0,0,31.00,0,,3,0,0,0,0,3,0.10,120,120,3/23/2026,123.00,3.97,400,523.00,16.87,3300,g,.009078,3,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Baci BULK Original Dark Choc 3x1KgBaci Bulk Original Dark 3x1Kg,12439386,56.70,.0000178,.000017,.00003,17.8,17,30,364,100,108,2,50,,Pantry,Chocolate,3,Retail  - Chocolate,8000300388909,Yes,Yes,No,124,1,3,3,150,31.00,140,Black
,0,BACI12595564-CA,7015,Perugina Baci Advent Calendar Ramb 10x278g,Baci_XMAS Chocolate,150,0,Label,0,0,0,0,No Movement,0,,0,0,0,0,0,0,,,,,0.00,,,0.00,,1200,g,.0020564,0,Baci,Chocolate and Candy,12190,BACI Baci Perugina,Livorno,Perugina Baci Advent Calendar Ramb 10x278,12595564,74.00,.0000097,.0000106,.00002,9.7,10.6,20,364,100,60,2,50,,Seasonal,Chocolate,10,Retail - XMAS Chocolate,8000300424478,Yes,Yes,No,0,21,0,11,110,No Movement,0,Black
DEVIATION LABELING AND REPACKING,116.00,BACI12531682-CA,6965,Baci Bag Easter Mini Eggs Milk 20x150g,Baci_Easter Chocolate,113,0,Label,20,84,0,0,26.00,1,,1,0,0,0,0,1,0.04,,,,1.00,0.04,,1.00,0.04,3300,g,.0219184,1,Baci,Seasonal Easter,12190,BACI Baci Perugina,Livorno,Baci Bag Easter Mini Eggs Milk 20x150g,12531682,47.00,.0000206,.0000266,.00004,20.6,26.6,40,364,100,45,2,50,,Seasonal,Chocolate,20,Retail - EASTER Chocolate,8000300328424,Yes,Yes,No,104,,0,,100,26.00,117,Red
,0,BACI12597082-CA,7048,Baci Box Assorted Sparkling - Silver -  20Pcs  10x250g,Baci_XMAS Chocolate,75,0,Label,0,0,0,0,No Movement,0,,0,0,0,0,0,0,,,,,0.00,,,0.00,,2350,g,.0096348,0,Baci,Seasonal Christmas,12190,BACI Baci Perugina,Livorno,Baci Box Assorted Sparkling - Silver -  20Pcs  10x250g,12439537,67.00,.0000217,.00002,.0000222,21.7,20,22.2,364,100,60,2,50,,Seasonal,Chocolate,10,Retail  - Chocolate,8000300410624,Yes,Yes,No,0,,0,,180,No Movement,0,Black
