Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,SARM680.ORG-CA,7183,R.M. Organic Passata 12x680ml,Agriconserve,Active,14,43,45,0,25.5,,,992,992,992,992,992,992,13.33,,,,,- None -,3066,- None -,- None -,12000,g,0.013398,340,Admin Portal,Regina Molisana,Canned and Jarred,1354,REGA Rega Food Srl,Salerno,R.M. Organic Passata 12x680ml,PAS070012 (B),9.24,0.000022,0.000029,0.000021,22,29,21,1095,96,,6,16,- None -,Pantry,Pasta and Pasta Sauce,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,102,,,,50,90,,
- None -,3.5,SARM-D24-CA,3654,R.M. Diced Tomatoes 24x398ml (14oz),Agriconserve,Active,268,343,255,228,273.5,,,2362,2362,2362,2362,2362,2362,8.63,,,,,- None -,,- None -,- None -,11690,g,0.01615068,2361,Admin Portal,Regina Molisana,Canned and Jarred,1354,REGA Rega Food Srl,Salerno,R.M. Diced Tomatoes 24x398ml (14oz),POC050024,10.5,0.0000116,0.0000455,0.0000306,11.6,45.5,30.6,1095,96,,12,8,- None -,Pantry,Tomatoes and Paste,24,Retail + HF,1.07799E+13,Yes,Yes,Yes,- None -,1094,3411,1,,,440,,
- None -,3.5,SAFARM01-CA,6902,Farm Boy San Marzano DOP Tomatoes 12x796ml (28oz),Agriconserve_PL Farm Boy,Active - PL,0,699,0,0,174.75,,,,,,,,,,,,,,- None -,,- None -,- None -,11024,g,0.016599625,,Admin Portal,Farm Boy,Canned and Jarred,1354,REGA Rega Food Srl,Salerno,Farm Boy San Marzano DOP Tomatoes 12x796ml (28oz),PEL100012 (SMD) F,23.5,0.0000125,0.0000427,0.0000311,12.5,42.7,31.1,120,100,,10,10,- None -,Pantry,Tomatoes and Paste,12,Private Label - FB,1.08089E+13,Yes,Yes,No,- None -,699,2789,,,,440,,
- None -,3.5,SARM-12-CA,3668,R.M. Italian Peeled Tomatoes 12x796ml (28oz),Agriconserve,Active,367,430,418,277,373,99,99,324,324,324,324,324,324,0.27,880,880,4/18/2026,,- None -,1320,- None -,- None -,11330,g,0.016063468,99,Admin Portal,Regina Molisana,Canned and Jarred,1354,REGA Rega Food Srl,Salerno,R.M. Italian Peeled Tomatoes 12x796ml (28oz),PEL100012,9.7,0.0000127,0.0000412,0.0000307,12.7,41.2,30.7,1216,120,,12,10,- None -,Pantry,Tomatoes and Paste,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,1492,2405,5,,2,440,,
- None -,3.5,SARM680.RUS-CA,7182,R.M. Passata Rustica 12x680ml,Agriconserve,Active,128,43,77,0,62,,,876,876,876,876,876,876,3.92,,,,,- None -,3046,- None -,- None -,12000,g,0.013398,243,Admin Portal,Regina Molisana,Canned and Jarred,1354,REGA Rega Food Srl,Salerno,R.M. Passata Rustica 12x680ml,POF070012 (C),8.4,0.000022,0.000029,0.000021,22,29,21,1095,96,,6,16,- None -,Pantry,Pasta and Pasta Sauce,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,248,,,,,90,,
- None -,3.5,SALONGOS01-CA,3548,Longos Curato San Marzano DOP Tomatoes 12x796ml,Agriconserve_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,,,,,- None -,1990,- None -,- None -,11250,g,0.0158875,,Admin Portal,Longos,Canned and Jarred,1354,REGA Rega Food Srl,Salerno,Longos Curato San Marzano DOP Tomatoes 12x796ml,PEL100012 (SMD),23.5,0.0000125,0.000041,0.000031,12.5,41,31,120,100,,10,10,- None -,Pantry,Tomatoes and Paste,12,Private Label - Longos,1.07725E+13,Yes,Yes,No,- None -,0,440,,,1990,440,,
- None -,3.5,BRRI579-CA,3496,Vita Sana Treccine Pepperoncino 16x340g,Ricciardi,Do not Order,23,24,21,14,20.5,,,95,95,95,95,95,95,4.63,1,,,,- None -,31,- None -,- None -,6140,g,0.02904663,95,Admin Portal,Vita Sana,"Crackers, Cookies, Snacks",1368,RICCIA FR Srl Semplificata Unipersonale,Salerno,Vita Sana Treccine Pepperoncino 16x340g,50523340,16.72,0.0000285,0.0000262,0.0000389,28.5,26.2,38.9,,50,,5,10,- None -,Pantry,Crackers,16,Retail,1.07799E+13,Yes,No,Yes,- None -,82,357,,,,50,,
- None -,3.5,BRRI576-CA,3495,Vita Sana Treccine 16x340g,Ricciardi,Active,182,175,160,124,160.25,,,211,211,211,211,211,211,1.3,200,200,4/18/2026,,- None -,500,- None -,- None -,5970,g,0.02904663,208,Admin Portal,Vita Sana,"Crackers, Cookies, Snacks",1368,RICCIA FR Srl Semplificata Unipersonale,Salerno,Vita Sana Treccine 16x340g,50522340,16.72,0.0000285,0.0000262,0.0000389,28.5,26.2,38.9,365,50,,5,10,- None -,Pantry,Crackers,16,Retail,1.07799E+13,Yes,Yes,Yes,- None -,641,1779,3,,,100,,
- None -,3.5,DELROVUZ1CD-CA,7188,Longos Curato Prosciutto Cotto Gran Sapore (2Pc) Per/Kg,Rovagnati_PL Longos,Active - PL,514.92,76.848,385.479,162.945,285.048,,,785.19,785.19,785.19,785.19,785.19,785.19,2.74,,,,,- None -,,- None -,- None -,6886,g,0.020979666,781.19,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Longos Curato Prosciutto Cotto Gran Sapore (2Pc) Per/Kg,UZ1CD,8.18,0.0000218,0.0000289,0.0000333,21.8,28.9,33.3,300,100,,2,50,- None -,Deli,Mortadella & Prosciutto,2,Retail,1.07725E+13,Yes,Yes,No,- None -,1140.192,,4,,,560,,
- None -,3.5,DELROVU88CD-CA,6150,Rovagnati Gran Mortadella Massima 2x3Kg,Rovagnati,Active,1045.46,1450,901.58,537.88,983.73,,,4468.8,4468.8,4468.8,4468.8,4468.8,4468.8,4.54,,,,,- None -,900,- None -,- None -,6340,g,0.01579032,4465.8,Admin Portal,Rovagnati,Deli Meats,1394,ROVAGNATI Rovagnati Spa,Genova,Rovagnati Gran Mortadella Massima 2x3Kg,U88CD,6.68,0.0000182,0.0000482,0.000018,18.2,48.2,18,300,100,,2,50,- None -,Deli,Mortadella & Prosciutto,2,Retail,9.80071E+13,Yes,Yes,Yes,- None -,3934.92,6551.62,3,,,1340,,
