Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Available to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,PAT021-DR-CA,3987,La Molisana Pennoni Rigati #21 12x450g,L.M._Pasta Traditional,Active,646,957,563,554,680,300,300,1515,1515,1515,1515,1515,1515,2.2,1920,384,4/23/2026,,- None -,2085,- None -,- None -,6020,g,0.02542176,1493,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Pennoni Rigati #21 12x450g,17010184021,6.75,0.0000182,0.0000291,0.000048,18.2,29.1,48,1095,48,,6,8,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,2720,7020,22,,,1000,,
- None -,3.5,PAT059-DR-CA,3995,La Molisana Stelline #59 12x450g,L.M._Pasta Traditional,Active,916,964,632,481,748.25,,,1914,1914,1914,1914,1914,1914,2.54,1067,107,5/16/2026,,- None -,1300,- None -,- None -,5720,g,0.010374,1899,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Stelline #59 12x450g,17010184059,6.75,0.0000182,0.000019,0.00003,18.2,19,30,1095,120,,6,20,- None -,Pantry,Soup Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,2993,6848,15,,,1000,,
- None -,3.5,PAT045-DR-CA,3973,La Molisana Ditali #45 12x450g,L.M._Pasta Traditional,Active,427,480,607,504,504.5,,,1490,1490,1490,1490,1490,1490,2.91,924,924,5/16/2026,,- None -,1000,- None -,- None -,5880,g,0.01512,1466,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Ditali #45 12x450g,17010184045,6.75,0.000018,0.000021,0.00004,18,21,40,1095,84,,6,14,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,2018,5778,24,,,1000,,
- None -,3.5,PAT066-DR-CA,3976,La Molisana Farfalle 'Bow Ties' #66 12x450g,L.M._Pasta Traditional,Active,3210,3591,2319,1786,2726.5,,,8278.32,8278.32,8278.32,8278.32,8278.32,8278.32,3.03,1488,1200,5/16/2026,,- None -,5000,- None -,- None -,5980,g,0.02141073,8262.32,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Farfalle 'Bow Ties' #66 12x450g,17010184066,7.02,0.0000165,0.0000267,0.0000486,16.5,26.7,48.6,1095,72,,9,8,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,10906,31249,16,,240,1000,,
DEVIATION LABELING AND REPACKING,3.5,PATW066-DR-CA,4014,La Molisana Whole Wheat Farfalle #66 12x500g,L.M._Pasta Whole Wheat,Do not Order,99,54,46,66,66.25,,,198,198,198,198,198,198,1.34,,,,,- None -,,- None -,- None -,6580,g,0.0224504,89,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Whole Wheat Farfalle #66 12x500g,13031310066,8.1,0.0000211,0.00004,0.0000266,21.1,40,26.6,1095,63,,7,9,- None -,Pantry,Short Cuts,12,Retail,3.80047E+13,Yes,No,Yes,- None -,265,618,1,,,1000,,
ORDER IN 500GR - DEVIATE LABEL/REPACK,3.5,PAT061-DR-CA,3991,La Molisana Semi Di Melone #61 12x450g,L.M._Pasta Traditional,Active,112,230,191,193,181.5,111.004,111.004,111.004,111.004,111.004,111.004,111.004,111.004,0.61,1920,960,5/6/2026,,- None -,1920,- None -,- None -,5760,g,0.010374,111.004,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Semi Di Melone #61 12x450g,17010184061,6.75,0.0000182,0.000019,0.00003,18.2,19,30,1095,120,,6,20,- None -,Pantry,Soup Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,726,3373,,,1,2500,,
- None -,3.5,PAT065-DR-CA,3981,La Molisana Orzo #65 12x450g,L.M._Pasta Traditional,Active,1307,1203,874,894,1069.5,,,2783,2783,2783,2783,2783,2783,2.58,960,,,,- None -,1000,- None -,- None -,5660,g,0.010374,2756,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Orzo #65 12x450g,17010184065,6.75,0.0000182,0.000019,0.00003,18.2,19,30,1095,120,,6,20,- None -,Pantry,Soup Cuts,12,Retail,1.00372E+13,Yes,Yes,Yes,- None -,4278,8932,27,,,1000,,
- None -,3.5,PAT031-DR-CA,3989,La Molisana Rigatoni #31 12x450g,L.M._Pasta Traditional,Active,2148,2199,2145,1256,1937,,,2548,2548,2548,2548,2548,2548,1.3,3810,424,4/18/2026,,- None -,7886,- None -,- None -,6110,g,0.02542176,2517,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Rigatoni #31 12x450g,17010184031,6.75,0.0000182,0.0000291,0.000048,18.2,29.1,48,1095,64,,8,8,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,7748,17207,31,,144,1000,,
DEVIATION LABEL UNIT/CASE FOR COMPLIANCE,3.5,PAB015-CA,6899,La Molisana Lupini Spaghetti 12x400g,L.M._Pasta Speciali,Label,2,0,11,11,6,14,14,369,369,369,369,369,369,2.33,,,,,- None -,,- None -,- None -,5460,g,0.01035996,14,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Lupini Spaghetti 12x400g,12911278616,11.4,0.000029,0.0000229,0.0000156,29,22.9,15.6,1095,95,,5,19,- None -,Pantry,Bean Pasta,12,Retail,1.80047E+13,Yes,No,Yes,- None -,24,126,,,,1000,,
- None -,3.5,PAT028-DR-CA,3977,La Molisana Fusilli #28 12x450g,L.M._Pasta Traditional,Active,2768,3367,2620,1833,2647,,,3690,3690,3690,3690,3690,3690,1.38,10529,600,4/12/2026,,- None -,10717,- None -,- None -,5950,g,0.0197448,3659,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Fusilli #28 12x450g,17010184028,6.75,0.000019,0.000024,0.0000433,19,24,43.3,1095,90,,9,10,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,10588,30047,31,,240,1000,,
DEVIATION LABEL UNIT/CASE FOR COMPLIANCE,3.5,PAT030-FS-CA,3529,La Molisana Orecchiette Bulk #30 2x10lb (Box),L.M._Pasta Bulk,Label,24,12,41,0,19.25,,,39,39,39,39,39,39,2.03,,,,,- None -,50,- None -,- None -,9680,g,0.02415549,39,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Orecchiette Bulk #30 2x10lb (Box),1460315030,12.245,0.0000178,0.0000415,0.0000327,17.8,41.5,32.7,1095,64,,8,8,- None -,Food Service,Premium Short Cuts,2,Retail,1.00372E+13,Yes,Yes,No,- None -,77,68,,,,1,,
Label Current stock/Sell/Make Inactive,3.5,PAT015-ORG-CA,4028,La Molisana Organic Spaghetti #15 18x500g,L.M._Pasta Organic,Active,12,38,8,20,19.5,,,49,49,49,49,49,49,2.51,,,,,- None -,50,- None -,- None -,9220,g,0.011991375,49,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Organic Spaghetti #15 18x500g,13041408015,13.95,0.0000165,0.0000285,0.0000255,16.5,28.5,25.5,1095,84,,4,21,- None -,Pantry,Long Cuts,18,Retail,2.80047E+13,Yes,Yes,Yes,- None -,78,273,,,,1000,,
- None -,3.5,PAT034-DR-CA,3972,La Molisana Cavatappi #34 12x450g,L.M._Pasta Traditional,Active,482,515,446,484,481.75,,,778,778,778,778,778,778,1.59,1500,1140,4/12/2026,,- None -,1550,- None -,- None -,5950,g,0.017576336,767,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Cavatappi #34 12x450g,17010184034,6.75,0.0000172,0.0000236,0.0000433,17.2,23.6,43.3,1095,90,,9,10,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,1927,5783,11,,,1000,,
ORDER IN 500GR - DEVIATE LABEL/REPACK,3.5,PAR103-12-CA,4001,La Molisana Nidi '3' Tagliatelle #103 12x450g,L.M._Pasta Speciali,Label,77,70,47,57,62.75,,,178,178,178,178,178,178,2.79,,,,,- None -,,- None -,- None -,6420,g,0.045999828,175,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Nidi '3' Tagliatelle #103 12x450g,17020121103,9.342,0.0000293,0.0000588,0.0000267,29.3,58.8,26.7,1095,40,,5,8,- None -,Pantry,Premium Nests,12,Retail,2.07799E+13,Yes,Yes,No,- None -,251,554,3,,,1000,,
- None -,3.5,PAT070-DR-CA,3974,La Molisana Elbows #70 12x450g,L.M._Pasta Traditional,Active,1170,1590,1680,508,1237,,,2753.98,2753.98,2753.98,2753.98,2753.98,2753.98,2.21,3332,980,4/18/2026,,- None -,4332,- None -,- None -,5870,g,0.013910808,2737.98,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Elbows #70 12x450g,17010184070,6.75,0.0000164,0.0000211,0.0000402,16.4,21.1,40.2,1095,98,,7,14,- None -,Pantry,Short Cuts,12,Retail,4.07799E+13,Yes,Yes,Yes,- None -,4948,13081,16,,98,1000,,
DEVIATION LABELING AND REPACKING,3.5,PATW028-DR-CA,4015,La Molisana Whole Wheat Fusilli #28 12x500g,L.M._Pasta Whole Wheat,Do not Order,41,118,48,78,71.25,,,113,113,113,113,113,113,1.57,180,180,4/30/2026,,- None -,180,- None -,- None -,6510,g,0.019943,112,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Whole Wheat Fusilli #28 12x500g,15031350028,8.1,0.00002,0.0000385,0.0000259,20,38.5,25.9,1095,63,,7,9,- None -,Pantry,Short Cuts,12,Retail,3.80047E+13,Yes,No,Yes,- None -,285,721,1,,,1000,,
- None -,3.5,PAT025-DR-CA,3968,La Molisana Abissine Rigate #25 12x450g,L.M._Pasta Traditional,Active,523,572,316,226,409.25,,,823,823,823,823,823,823,1.95,1021,,,,- None -,1051,- None -,- None -,5930,g,0.0197448,797,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Abissine Rigate #25 12x450g,17010184025,6.75,0.000019,0.000024,0.0000433,19,24,43.3,1095,90,,9,10,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,1637,5049,26,,,1000,,
- None -,3.5,PAT012-DR18-CA,3969,La Molisana Bucatini #12 18x450g,L.M._Pasta Traditional,Active,347,743,253,176,379.75,,,2223,2223,2223,2223,2223,2223,5.84,,,,,- None -,,- None -,- None -,8740,g,0.013137534,2217,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Bucatini #12 18x450g,17010183012,10.125,0.0000159,0.0000282,0.0000293,15.9,28.2,29.3,1095,92,,4,23,- None -,Pantry,Long Cuts,18,Retail,5.07799E+13,Yes,Yes,Yes,- None -,1519,5790,6,,,1000,,
DEVIATION LABEL UNIT/CASE FOR COMPLIANCE,3.5,PAB020-CA,6897,La Molisana Lupini Penne Rigate 12x400g,L.M._Pasta Speciali,Label,1,23,8,13,11.25,30,30,250,250,250,250,250,250,2.67,,,,,- None -,,- None -,- None -,5630,g,0.018987615,30,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Lupini Penne Rigate 12x400g,12911278020,11.4,0.0000173,0.0000405,0.0000271,17.3,40.5,27.1,1095,50,,5,10,- None -,Pantry,Bean Pasta,12,Retail,1.80047E+13,Yes,Yes,Yes,- None -,45,97,,,,1000,,
CONVERT TO 12/450GR - LABEL/REPACK,3.5,PAR002-DR18-CA,6951,La Molisana Fettuccia Riccia #2 18x500g,L.M._Pasta Speciali,Part,0,0,0,0,0,,,26,26,26,26,26,26,0,,,,,- None -,404,- None -,- None -,10000,g,,,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Fettuccia Riccia #2 18x500g,15020173002,16.524,,,,,,,1095,100,,2,50,- None -,Pantry,Premium Long Cuts,18,Retail,- None -,No,Yes,No,- None -,0,,,,,1000,,
DEVIATION LABELING AND REPACKING,3.5,PATW015-DR-CA,4017,La Molisana Whole Wheat Spaghetti #15 18x500g,L.M._Pasta Whole Wheat,Do not Order,62,52,47,65,56.5,,,230,230,230,230,230,230,4.05,,,,,- None -,,- None -,- None -,9390,g,0.012008535,229,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Whole Wheat Spaghetti #15 18x500g,13031335015,12.15,0.0000281,0.0000259,0.0000165,28.1,25.9,16.5,1095,84,,4,21,- None -,Pantry,Long Cuts,18,Retail,3.80047E+13,Yes,No,Yes,- None -,226,739,1,,,1000,,
- None -,3.5,PAT058A-DR-CA,3971,La Molisana Capellini Spezzati #58 12x450g,L.M._Pasta Traditional,Active,1690,2696,1801,812,1749.75,,,6180,6180,6180,6180,6180,6180,3.52,3234,588,4/12/2026,,- None -,4632,- None -,- None -,5870,g,0.013910808,6161,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Capellini Spezzati #58 12x450g,17010184060,6.75,0.0000164,0.0000211,0.0000402,16.4,21.1,40.2,1095,98,,7,14,- None -,Pantry,Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,6999,23547,19,,196,1000,,
DEVIATION LABELING AND REPACKING,3.5,PALAT1000-DR-CA,6156,La Molisana Rigacuore #1000 24x500g,L.M._Pasta Speciali,Label,0,0,12,48,15,,,,,,,,,,,,,,- None -,100,- None -,- None -,12860,g,0.05721375,,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Rigacuore #1000 24x500g,2010101000,16.8,0.0000285,0.000055,0.0000365,28.5,55,36.5,1095,40,,4,10,- None -,Pantry,Short Cuts,24,Retail,1.80047E+13,Yes,Yes,No,- None -,60,177,,,,1000,,
DEVIATION LABEL UNIT/CASE FOR COMPLIANCE,3.5,PAT016-FS-CA,3536,La Molisana Spaghetti Bulk #16 2x10lb (Box),L.M._Pasta Bulk,Label,121,81,70,43,78.75,,,158,158,158,158,158,158,2.01,96,96,5/6/2026,,- None -,196,- None -,- None -,9480,g,0.0122822,158,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Spaghetti Bulk #16 2x10lb (Box),1460315016,11.338,0.0000283,0.000028,0.0000155,28.3,28,15.5,1095,96,,4,24,- None -,Food Service,Long Cuts,2,Retail,1.00372E+13,Yes,Yes,Yes,- None -,315,838,,,,1000,,
DEVIATION LABEL UNIT/CASE FOR COMPLIANCE,3.5,PAT022-FS-CA,3531,La Molisana Penette Bulk Rigate 4x3Kg,L.M._Pasta Bulk,Label,132,203,76,82,123.25,,,267.75,267.75,267.75,267.75,267.75,267.75,0.03,96,96,5/6/2026,,- None -,296,- None -,- None -,12750,g,0.030371784,3.75,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Penette Rigate 4x3Kg,12080125022,15,0.0000241,0.0000354,0.0000356,24.1,35.4,35.6,1095,54,,6,9,- None -,Food Service,Short Cuts,4,Retail,8.00469E+12,Yes,Yes,Yes,- None -,493,1093,,,,1000,,
ORDER IN 24/500GR - DEVIATE LABEL/REPACK,3.5,PAT064-DR-CA,3988,La Molisana Peperini #64 12x450g,L.M._Pasta Traditional,Label,307,481,400,382,392.5,82,82,82,82,82,82,82,82,0.21,1920,360,5/6/2026,,- None -,1960,- None -,- None -,5750,g,0.010374,82,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Peperini #64 12x450g,17010124064,6.75,0.0000182,0.000019,0.00003,18.2,19,30,1095,120,,6,20,- None -,Pantry,Soup Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,1570,4378,,,1,1000,,
DEVIATION LABEL UNIT/CASE FOR COMPLIANCE,3.5,PFLOUR04A-CA,3535,La Molisana Semola Flour Di Grano #601 12x1Kg,L.M._Flour,Label,479,162,459,487,396.75,,,677,677,677,677,677,677,0.12,990,585,5/6/2026,,- None -,990,- None -,- None -,12730,g,0.01924181,49,Admin Portal,La Molisana,Baking Ingredients,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Semola Flour Di Grano #601 12x1Kg,15100702601,12,0.0000214,0.0000367,0.0000245,21.4,36.7,24.5,365,45,65,5,9,- None -,Pantry,Flour and Baking Aids,12,Retail,1.80047E+13,Yes,Yes,Yes,- None -,1587,4656,31,,45,1000,,
ORDER IN 18/500GR - DEVIATE LABEL/REPACK,3.5,PAR003-DR-CA,4002,La Molisana Tripolina Lunga #3 12x450g,L.M._Pasta Speciali,Label,139,112,106,28,96.25,20,20,56,56,56,56,56,56,0.57,,,,,- None -,,- None -,- None -,5790,g,0.02794634,55,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Tripolina Lunga #3 12x450g,17020124003,11.016,0.0000293,0.000038,0.0000251,29.3,38,25.1,1095,48,,4,12,- None -,Pantry,Premium Long Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,385,717,1,,,1000,,
ORDER IN 500GR - DEVIATE LABEL/REPACK,3.5,PAR60A-DR-CA,4004,La Molisana Anelli Siciliani #60A 12x450g,L.M._Pasta Speciali,Label,169,133,171,159,158,,,168,168,168,168,168,168,0.4,,,,,- None -,,- None -,- None -,5850,g,0.0135072,63,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Anelli Siciliani #60A 12x450g,17010124660,7.29,0.000016,0.000021,0.0000402,16,21,40.2,1095,98,,7,14,- None -,Pantry,Premium Short Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,632,1095,,,,1000,,
- None -,3.5,PAT068-DR-CA,3996,La Molisana Tripoline #68 12x450g,L.M._Pasta Traditional,Active,351,500,278,370,374.75,300,300,1131,1131,1131,1131,1131,1131,3,271,270,5/23/2026,,- None -,1001,- None -,- None -,5910,g,0.017576336,1125,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Tripoline #68 12x450g,17010184068,7.02,0.0000172,0.0000236,0.0000433,17.2,23.6,43.3,1095,90,,9,10,- None -,Pantry,Soup Cuts,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,1499,4862,6,,,1000,,
Label Current stock/Sell/Make Inactive,3.5,PAT028-ORG-CA,4025,La Molisana Organic Fusilli #28 10x500g,L.M._Pasta Organic,Active,17,25,23,32,24.25,46,46,46,46,46,46,46,46,1.9,120,120,4/30/2026,,- None -,120,- None -,- None -,5440,g,0.01711851,46,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Organic Fusilli #28 10x500g,13041409028,7.75,0.0000186,0.0000233,0.0000395,18.6,23.3,39.5,1095,60,,6,10,- None -,Pantry,Short Cuts,10,Retail,2.80047E+13,Yes,Yes,Yes,- None -,97,453,,,,1000,,
Label Current stock/Sell/Make Inactive,3.5,PALAT58-DR-CA,6843,La Molisana Mista Grano Ita #58 24x500g,L.M._Pasta Speciali,Do not Order,0,0,0,0,0,,,28,28,28,28,28,28,0,,,,,- None -,,- None -,- None -,12730,g,0.03196908,28,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Mista Grano Ita #58 24x500g,2010101058,15,0.000027,0.0000506,0.0000234,27,50.6,23.4,1095,40,,4,10,- None -,Pantry,Short Cuts,24,Retail,1.80047E+13,Yes,No,No,- None -,0,132,,,,1000,,
- None -,3.5,PRM203-DR-CA,4021,La Molisana Tagliatelle Egg #203 12x250g,L.M._Pasta Egg,Active,539,560,382,370,462.75,100,100,776,776,776,776,776,776,1.67,1128,200,4/30/2026,,- None -,1500,- None -,- None -,3950,g,0.0282,772,Admin Portal,La Molisana,Pasta,1041,LA MOLISANA * La Molisana Industrie Alimentari Spa,Salerno,La Molisana Tagliatelle Egg #203 12x250g,17440238203,7.394,0.0000235,0.00006,0.00002,23.5,60,20,730,60,,6,10,- None -,Pantry,Premium Nests,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,1851,3266,4,,51,1000,,
Do Not Reorder - Sell through/Make Inactive,3.5,PASPT03-CA,4034,Vita Sana Spelt Tortiglioni (Elicoidali) 12x450g,Andalini,Do not Order,27,34,50,23,33.5,,,120,120,120,120,120,120,3.58,,,,,- None -,,- None -,- None -,5820,g,0.0216117,120,Admin Portal,Vita Sana,Pasta,1043,LA SOVRANA Pastificio La Sovrana Di Puglia,Salerno,Vita Sana Spelt Tortiglioni (Elicoidali) 12x450g,VS059#6F450112,11.76,0.0000185,0.0000295,0.0000396,18.5,29.5,39.6,1095,60,,6,10,- None -,Pantry,Spelt Pasta,12,Retail,1.07799E+13,Yes,No,No,- None -,134,488,,,,300,,
- None -,3.5,PASPT01-CA,4032,Vita Sana Spelt Penne 12x450g,Andalini,Active,112,58,72,50,73,,,69,69,69,69,69,69,0.93,404,,,,- None -,404,- None -,- None -,5870,g,0.0216117,68,Admin Portal,Vita Sana,Pasta,1043,LA SOVRANA Pastificio La Sovrana Di Puglia,Salerno,Vita Sana Spelt Penne 12x450g,VS065#6F450112,11.76,0.0000185,0.0000295,0.0000396,18.5,29.5,39.6,1095,60,,6,10,- None -,Pantry,Spelt Pasta,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,292,746,1,,,300,,
- None -,3.5,PASPT02-CA,4031,Vita Sana Spelt Fusilli 12x450g,Andalini,Active,66,29,54,73,55.5,63,63,98,98,98,98,98,98,1.75,300,,,,- None -,300,- None -,- None -,5810,g,0.0216117,97,Admin Portal,Vita Sana,Pasta,1043,LA SOVRANA Pastificio La Sovrana Di Puglia,Salerno,Vita Sana Spelt Fusilli 12x450g,VS073#6F450112,11.76,0.0000185,0.0000295,0.0000396,18.5,29.5,39.6,1095,60,,6,10,- None -,Pantry,Spelt Pasta,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,222,858,1,,,300,,
Do Not Reorder - Sell through/Make Inactive,3.5,PASPT06-CA,4029,Vita Sana Spelt Cavatappi #70 12x450g,Andalini,Do not Order,14,4,26,18,15.5,,,255,255,255,255,255,255,16.45,,,,,- None -,,- None -,- None -,5840,g,0.0216117,255,Admin Portal,Vita Sana,Pasta,1043,LA SOVRANA Pastificio La Sovrana Di Puglia,Salerno,Vita Sana Spelt Cavatappi #70 12x450g,VS070#6F450112,11.76,0.0000185,0.0000295,0.0000396,18.5,29.5,39.6,1095,60,,6,10,- None -,Pantry,Spelt Pasta,12,Retail,1.07799E+13,Yes,No,No,- None -,62,290,,,,300,,
- None -,3.5,PASPT04-CA,4033,Vita Sana Spelt Spaghetti 12x450g,Andalini,Active,69,49,59,40,54.25,,,178,178,178,178,178,178,3.28,,,,,- None -,,- None -,- None -,5650,g,0.009004875,178,Admin Portal,Vita Sana,Pasta,1043,LA SOVRANA Pastificio La Sovrana Di Puglia,Salerno,Vita Sana Spelt Spaghetti 12x450g,VS003#6F451612,11.76,0.0000185,0.0000295,0.0000165,18.5,29.5,16.5,1095,162,,6,27,- None -,Pantry,Spelt Pasta,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,217,963,,,,300,,
- None -,3.5,COFGIO02-12PK-CA,3480,Gioia Espresso Coffee Gold 12x250g,Labcaffe,Active,259,333,280,279,287.75,,,553,553,553,553,553,553,1.91,939,234,4/30/2026,,- None -,939,- None -,- None -,3140,g,0.006292,551,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,Gioia Espresso Coffee Gold 12x250g,301,27,0.0000143,0.000025,0.0000176,14.3,25,17.6,730,180,125,10,18,- None -,Drinks,Ground Coffee,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,1151,2034,2,,,234,,
- None -,3.5,COFGIO03-CA,3479,Gioia Espresso Coffee Beans 12x1Kg,Labcaffe,Active,132,85,116,60,98.25,,,167,167,167,167,167,167,1.7,180,180,4/30/2026,,- None -,180,- None -,- None -,12820,g,0.041491224,167,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,Gioia Espresso Coffee Beans 12x1Kg,3,106.8,0.0000366,0.0000282,0.0000402,36.6,28.2,40.2,730,40,40,4,10,- None -,Drinks,Whole Beans,12,Retail,1.07799E+13,Yes,Yes,Yes,- None -,393,1062,,,,60,,
- None -,3.5,COFGIO-CAP CLASSIC-CA,1535,Gioia Espresso Classic Capsules 100 Per Case,Labcaffe,Active,0,2,0,6,2,,,,,,,,,,,,,,- None -,50,- None -,- None -,1510,g,0.01552908,,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,Gioia Espresso Classic Capsules 100 Per Case,361,12,0.0000278,0.0000285,0.0000196,27.8,28.5,19.6,730,100,,2,50,- None -,Drinks,Coffee Pods,,Retail,8.00739E+12,Yes,Yes,No,- None -,8,33,,,,40,,
- None -,3.5,COFGIO01-12PK-CA,3481,Gioia Espresso Coffee White 12x250g,Labcaffe,Active,448,511,461,446,466.5,,,1165,1165,1165,1165,1165,1165,2.48,468,234,4/30/2026,,- None -,944,- None -,- None -,3140,g,0.006292,1157,Admin Portal,Gioia,Coffee,1044,LABCAF Labcaffe Srl,Salerno,Gioia Espresso Coffee White 12x250g,101,22.8,0.0000143,0.000025,0.0000176,14.3,25,17.6,730,180,125,10,18,- None -,Drinks,Ground Coffee,12,Retail,2.07799E+13,Yes,Yes,Yes,- None -,1866,6089,8,,,234,,
