Purchase Memo,Recom. Qty,Item Name,Item ID,Display Name,Reorder Vendor Group,Item Status,30 Days,60 Days,90 Days,120 Days,4 Month Average,Availble to Promise,Qty Reserved,On Hand Available (Good),On Hand Deviated,On Hand Inspection,On Hand Label,On Hand Hold,On Hand Total (Good + Deviated),On Hand Total (Months),In Transit,Next Arrival Qty,Next Arrival Date,On Hand Total + In Transit,On Hand Total + Transit (Months),On Order (TO SHIP),Total Stock,Total Stock [Months],Item Weight,Item Weight Units,Maximum of Item Cubic Space,Total Available ,Admin Portal,Brand,Product Category,Vendor ID,Preferred Vendor,P.O.L,Item Description,Vendor Item #,Minimum of Vendor Price,Item Height1,Item Width1,Item Depth1,Item Height,Item Width,Item Depth,Item Shelf,Pallet QTY - NA,Pallet QTY - Euro,HI,TI,Planner ,Department,Product Sub Category,Item - Inner Qty,Product Type,UPC Code,Available for Sale,Available for purchase,LCL Listed,4-Month Qty Sold (LCL),4-Month Total Quantity Sold,Previous Year QTY Sold,Qty Committed,Qty Committed Reserved,Qty Back Ordered,Preferred Vendor Min Qty,Minimum Monthly Qty,Minimum Stock
- None -,3.5,OCOAVOCA-CA,6883,Colavita Avocado Oil 6x750ml (Timeless),Colavita Italy_Oil,Do not Order,0,0,0,0,0,,,160,160,160,160,160,160,0,,,,,- None -,,- None -,- None -,7360,g,.0135135,,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Avocado Oil 6x750ml (Timeless),CLAVTM750C6CAN,49.80,.000027,.0000275,.0000182,27,27.5,18.2,730,120,120,6,20,- None -,Pantry,Specialty Oils,6,Retail,10039153431833,Yes,No,No,- None -,0,60,160,,1,420,,
- None -,3.5,OCOXV.75L22TIMELESS-CA,1163,Colavita Premium Italian  EV Olive Oil 6x750ml (Timeless),Colavita Italy_Oil,Active,0,0,0,0,0,,,205,205,205,205,205,205,0,,,,,- None -,,- None -,- None -,7332,g,.01383726,111,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Premium Italian  EV Olive Oil 6x750ml (Timeless),CLEXEUCTM750C6CAN,30.30,.0000271,.0000276,.0000185,27.1,27.6,18.5,546,120,120,6,20,- None -,Pantry,Olive Oils,6,Retail,10039153010106,Yes,Yes,No,- None -,0,1245,94,,,230,,
Do Not Reorder - Sell through/Make Inactive,3.5,OCOXVCERAMIC-CA,1170,Colavita EV Olive Oil Premium Italian 6x250ml (Ceramic Jar),Colavita Italy_Oil,Active,0,0,0,0,0,,,9,9,9,9,9,9,0,,,,,- None -,,- None -,- None -,3596,g,.0091377,9,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita EV Olive Oil Premium Italian 6x250ml (Ceramic Jar),CLEXITTRISOL250C6USA,30.90,.0000165,.0000284,.0000195,16.5,28.4,19.5,,155,,5,31,- None -,Pantry,Olive Oils,6,Retail,10039153100388,Yes,Yes,No,- None -,0,15,,,9,100,,
DEVIATION LABELING AND REPACKING,3.5,OCOSPRORG-CA,6553,Colavita Spray EV Olive Oil Organic 6x148ml,Colavita Italy_Oil,Label,0,0,0,0,0,,,89,89,89,89,89,89,0,,,,,- None -,,- None -,- None -,1270,g,.0038502,89,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Spray EV Olive Oil Organic 6x148ml,CLEXBIMEUSR148C6CAN ,12.60,.000023,.0000155,.0000108,23,15.5,10.8,365,240,,4,60,- None -,Pantry,Olive Oils,6,Retail,10039153431024,Yes,Yes,No,- None -,0,161,,,,1,,
- None -,3.5,VIRASW-CA,6149,Colavita Raspberry Wine Vinegar 12x500ml,Colavita_Vinegar,Active,0,0,0,0,0,,,89,89,89,89,89,89,0,,,,,- None -,,- None -,- None -,10640,g,.021645,89,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Raspberry Wine Vinegar 12x500ml,CLVIRATM500C12CAN,15.60,.000025,.0000234,.000037,25,23.4,37,1095,102,,6,17,- None -,Pantry,Specialty Vinegars,12,Retail,10039153413150,Yes,Yes,No,- None -,0,143,,,,110,,
- None -,3.5,VIBA.5-CA,1184,Colavita Balsamic Vinegar of Modena 12x500ml,Colavita_Vinegar,Active,0,0,0,0,0,,,1012,1012,1012,1012,1012,1012,0,952,952,5/6/2026,,- None -,952,- None -,- None -,11080,g,.0176784,994,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Balsamic Vinegar of Modena 12x500ml,CLBALMTM500C12CAN,15.12,.0000254,.00003,.0000232,25.4,30,23.2,1825,102,,6,17,- None -,Pantry,Balsamic Vinegar,12,Retail,10039153413006,Yes,Yes,Yes,- None -,0,8582,18,,,595,,
- None -,3.5,OCOXV1TIMELESS-CA,1166,Colavita Extra Virgin Olive Oil 6x1L (Timeless),Colavita Italy_Oil,Active,0,0,0,0,0,,,15222,15222,15222,15222,15222,15222,0,2139,2131,4/23/2026,,- None -,2139,- None -,- None -,9330,g,.018538764,13436,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Extra Virgin Olive Oil 6x1L (Timeless),CLEXEUCTM1000C6CAN,39.90,.0000283,.0000212,.0000309,28.3,21.2,30.9,546,96,96,6,16,- None -,Pantry,Olive Oils,6,Retail,10039153010007,Yes,Yes,Yes,- None -,0,51150,1786,,120,2400,,
- None -,3.5,OCOXV.10L56BB-CA,6860,Colavita Pure Olive Oil Bag In Box 1x10L,Colavita USA_Oil,Active,0,0,0,0,0,,,1183,1183,1183,1183,1183,1183,0,896,896,5/20/2026,,- None -,11000,- None -,- None -,9400,g,.014329575,763,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Pure Olive Oil Bag In Box 1x10L,CLOL BG10LC1 CAN,42.00,.0000325,.0000207,.0000213,32.5,20.7,21.3,546,72,,3,24,- None -,Pantry,Olive Oils,1,Retail,039153431850,Yes,Yes,No,- None -,0,15762,420,,,2960,,
- None -,3.5,VLONGOSBALS02-CA,3551,Longos Curato White Vinegar of Modena 6x250ml,Colavita_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,3200,g,.00093775,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato White Vinegar of Modena 6x250ml,LNBALMBRG250C6USA,16.14,.0000155,.000011,.0000055,15.5,11,5.5,1821,259,,7,37,- None -,Pantry,Balsamic Vinegar,6,Private Label - Longos,10772468023620,Yes,Yes,No,- None -,0,,,,,760,,
- None -,3.5,OCOXV3T-CA,1167,Colavita Extra Virgin Olive Oil 4x3L (Tin),Colavita Italy_Oil,Active,0,0,0,0,0,,,29,29,29,29,29,29,0,90,90,5/20/2026,,- None -,180,- None -,- None -,12330,g,.01595724,29,Admin Portal,Colavita,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Colavita Extra Virgin Olive Oil 4x3L (Tin),CLEXEUCLA3000C4CAN,77.80,.0000265,.0000312,.0000193,26.5,31.2,19.3,546,90,,5,18,- None -,Pantry,Olive Oils,4,Retail,10039153010014,Yes,Yes,Yes,- None -,0,1341,,,,230,,
- None -,3.5,VLONGOSBALS01-CA,3544,Longos Curato Balsamic Vinegar 12x500ml,Colavita_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,23540,g,.001247382,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato Balsamic Vinegar 12x500ml,LNBALMGR500C12USA,15.00,.0000262,.0000069,.0000069,26.2,6.9,6.9,1821,102,,6,17,- None -,Pantry,Balsamic Vinegar,12,Private Label - Longos,10772468023583,Yes,Yes,No,- None -,0,714,,,,410,,
- None -,3.5,SACOLPASS-CA,7201,Colavita Passata 6x680ml,Colavita Italy_Other,Active,0,0,0,0,0,,,1927,1927,1927,1927,1927,1927,0,,,,,- None -,,- None -,- None -,6320,g,,1927,Admin Portal,Colavita,Canned and Jarred,679,COLPOM Colavita Spa,Salerno,Colavita Passata 6x680ml,CLPOPAS BP700V6 CAN,4.32,,,,,,,1095,174,,6,29,- None -,Pantry,Tomatoes and Paste,6,Retail,- None -,Yes,Yes,No,- None -,0,,,,,3830,,
- None -,3.5,VLONGOSRED01-CA,3547,Longos Curato Red Wine Vinegar 12x500ml,Colavita_PL Longos,Active - PL,0,0,0,0,0,,,,,,,,,0,,,,,- None -,,- None -,- None -,12300,g,.01748331,,Admin Portal,Longos,"Oil, Vinegars and Cooking Wine",679,COLPOM Colavita Spa,Salerno,Longos Curato Red Wine Vinegar 12x500ml,LNVINRVE500C12USA,11.40,.000027,.0000221,.0000293,27,22.1,29.3,1095,100,,2,50,- None -,Pantry,Specialty Vinegars,12,Private Label - Longos,- None -,Yes,Yes,No,- None -,0,1734,,,,870,,
