Item Name,Item ID,Display Name,Case UPC Code,Pallet Qty,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Maximum of Committed,Sum of On Hold,Sum of Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average
BRFB002-CA,3441,Farm Boy Artisanal Grissini Fennel 20x250g,- None -,64,Larte Dei Sapori_PL Farm Boy,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BRFB003-CA,3442,Farm Boy Artisanal Grissini Garlic & Hot Pepper 20x250g,- None -,64,Larte Dei Sapori_PL Farm Boy,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BRLF105-CA,6214,Vita Sana Taralli Pizza 16x225g,779921200348,104,Pascuzzo,- None -,- None -,- None -,,,,,,100,,100,- None -,100,4/12/2026,32,1.07,0,- None -,- None -,0,0,0,0,0
BRLF106-CA,3907,Vita Sana Taralli Pepperoncino 16x225g,779921200232,104,Pascuzzo,- None -,- None -,- None -,11,,,,,435,,435,- None -,435,4/12/2026,32,1.07,0,- None -,- None -,0,0,0,0,0
BRLF107-CA,3906,Vita Sana Taralli Olive Oil 16x225g,779921200201,104,Pascuzzo,- None -,- None -,- None -,1,,,,,22,,22,- None -,86,2/10/2026,-29,-.97,0,- None -,- None -,0,0,0,0,0
BRLF108-CA,3869,Vita Sana Breadsticks Sesame Bulk 12x400g,779921200249,40,La Mole,- None -,- None -,- None -,42,,,,,252,,252,- None -,169,3/15/2026,4,.13,0,- None -,- None -,0,0,0,0,0
BRLF109-CA,3905,Vita Sana Taralli Fennel 16x225g,779921200225,104,Pascuzzo,- None -,- None -,- None -,1,,,,,696,,796,- None -,696,4/12/2026,32,1.07,0,- None -,- None -,0,0,0,0,0
BRRI576-CA,3495,Vita Sana Treccine 16x340g,779921200010,50,Ricciardi,- None -,- None -,- None -,8,,,,,204,,404,- None -,4,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
BRRI579-CA,3496,Vita Sana Treccine Pepperoncino 16x340g,779921200034,50,Ricciardi,- None -,- None -,- None -,,,,,,71,,71,- None -,70,3/1/2026,-10,-.33,0,- None -,- None -,0,0,0,0,0
BRVV01A-CA,3924,Vita Vigor Traditional Breadsticks 12x125g,779921228502,120,Vitavigor,- None -,- None -,- None -,47,,,,,2880,,2880,- None -,1800,4/1/2026,21,.7,0,- None -,- None -,0,0,0,0,0
BRVV02A-CA,3923,Vita Vigor Sesame Breadsticks 12x125g,779921228533,120,Vitavigor,- None -,- None -,- None -,4,,,,,1300,,1350,- None -,70,4/1/2026,21,.7,0,- None -,- None -,0,0,0,0,0
BRVV03A-CA,3919,Vita Vigor Garlic Breadsticks 12x125g,779921228564,120,Vitavigor,- None -,- None -,- None -,2,,,,,580,,580,- None -,70,4/1/2026,21,.7,0,- None -,- None -,0,0,0,0,0
BRVV04A-CA,3922,Vita Vigor Pizza Breadsticks 12x125g,779921228595,120,Vitavigor,- None -,- None -,- None -,,,,,,,,4,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BRVV22-CA,3918,Vita Vigor (VS) Super Trad. Breadsticks 10x250g,779921222050,50,Vitavigor,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BRVV23-CA,3920,Vita Vigor Multigrain Breadsticks 12x125g,779921228625,120,Vitavigor,- None -,- None -,- None -,5,,,,,584,,584,- None -,300,4/1/2026,21,.7,0,- None -,- None -,0,0,0,0,0
BRVV26-CA,4756,Massimo Breadsticks Traditional 14x125g,- None -,140,Vitavigor_Massimo,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
BRVV28-CA,4757,Massimo Garlic Breadsticks 14x125g,- None -,140,Vitavigor_Massimo,- None -,- None -,- None -,280,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CERAMIC03-L-CA,3471,Gioia Ceramic Biscotti Jar Large 6 Per Case,- None -,100,Jin - Packaging,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CERAMICBLUE-UNIT-CA,3474,Gioia Ceramic Biscotti Jar Small Blue Empty Jar 12 Per Case,- None -,100,Jin - Packaging,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHE993PAR18-CA,6814,993 Reggiano Parmigiano18 Month 10x500g,- None -,42,993,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDAMAFVA227-CA,7126,Chiostro Amaretti Vintage Tin 6x225g,- None -,56,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDAMASB500-CA,7125,Chiostro Amaretti Bag 10x500g,- None -,25,Chiostro_Cookies,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDAMAVAN100-CA,7129,Chiostro Amaretti Classic Metal Van 12x100g,- None -,42,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDAMAWB150-CA,7124,Chiostro Amaretti Red Window Box 12x150g,- None -,42,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDCANTVAN100-CA,7130,Chiostro Cantuccini Metal Van 12x100g,- None -,42,Chiostro_Cookies,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDEXPOASS175-CA,7128,Chiostro Amaretti Assorted 12x175g,- None -,40,Chiostro_Cookies,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDPANDLSCI750-CA,7166,Chiostro Pandoro Sciatori Metal Tin 6x750g,- None -,36,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
CHIDPANEA750-CA,7145,Chiostro Panettone Paper Wrap Amaretto 8x750g,- None -,30,Chiostro_Label_XMAS,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,- None -,- None -,0,0,0,0,0
