Item Name,Item ID,Display Name,Product Status,Core Item Category,Units,Size,Case UPC Code,Pallet Qty,LCL Listed,Reorder Vendor Group,Critical Stock Restriction,Warning (< 2 Months),Recommened Restriction Quantity ,Available to Promise,Maximum of Committed,Sum of On Hold,Reserved,Sum of On Hand Available (Good) ,Sum of On Hand Total (Good + Deviated),In Transit,Sum of On Hand Total + In Transit,On Order (TO SHIP),Total Stock,Next Arrival Qty,Next Arrival Date,Days Till Next Arrival,Months Till Next Arrival,On Hand Total (Months),Inspection,Label,Deviation,On Hand Total + Transit (Months),Total Stock [Months],30 Days,60 Days,90 Days,120 Days,4 Month Average,Maximum of Shelf Life in Days
VIRASW-CA,6149,Colavita Raspberry Wine Vinegar 12x500ml,Do not Order,20. Vinegars,12,10640 g,39153413153,102,No,Colavita_Vinegar,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1095
VIWR003-CA,1188,Colavita Wine Vinegar Red 12x500ml,Active,20. Vinegars,12,10630 g,39153413054,102,Yes,Colavita_Vinegar,- None -,- None -,- None -,- None -,85,,,,,595,,3570,- None -,595,9/2/2026,-14,-.47,0,,,,- None -,- None -,0,0,0,0,0,1825
VIWR003-FB-CA,3457,Farm Boy Wine Vinegar Red 12x500ml,Active - PL,20. Vinegars,12,9998 g,- None -,102,No,Colavita_PL Farmboy,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VIWW004-CA,1190,Colavita Wine Vinegar White 12x500ml,Active,20. Vinegars,12,10620 g,39153413061,102,Yes,Colavita_Vinegar,- None -,- None -,- None -,- None -,1,,,,,714,,1785,- None -,714,9/2/2026,-14,-.47,0,,,,- None -,- None -,0,0,0,0,0,1825
VLONGOFET02-CA,7109,Longos Curato Fettucine Egg Nest pasta 18x250g,Active - PL,05. Egg Pasta,18,5000 g,- None -,100,No,Alguazas_PL Longos,- None -,- None -,- None -,- None -,,,,,,1,,1,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,730
VLONGONSWHI01-CA,3552,Longos Curato White Wine Vinegar 12x500ml,Active - PL,20. Vinegars,12,12300 g,- None -,102,No,Colavita_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,408,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1095
VLONGOPAP03-CA,7108,Longos Curato Pappardelle Egg Nest pasta 18x250g,Active - PL,05. Egg Pasta,18,5000 g,- None -,100,No,Alguazas_PL Longos,- None -,- None -,- None -,- None -,,,,,,2,,2,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,730
VLONGOSBALS01-CA,3544,Longos Curato Balsamic Vinegar 12x500ml,Active - PL,20. Vinegars,12,23540 g,- None -,102,No,Colavita_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,510,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VLONGOSBALS02-CA,3551,Longos Curato White Vinegar of Modena 6x250ml,Active - PL,20. Vinegars,6,3200 g,- None -,259,No,Colavita_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,518,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VLONGOSBALS03-CA,3543,Longos Curato Balsamic Glaze 12x250ml,Active - PL,20. Vinegars,12,9140 g,- None -,192,No,Colavita_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,384,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VLONGOSBALS04-CA,3545,Longos Curato Balsamic Vinegar Gold 6x250ml,Active - PL,20. Vinegars,6,3885 g,- None -,224,No,Colavita_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VLONGOSBALS05-CA,3546,Longos Curato Balsamic Vinegar Silver 12x250ml,Active - PL,20. Vinegars,12,6200 g,- None -,100,No,Colavita_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1821
VLONGOSFOC01-CA,6608,Longos Curato Focaccia Rosemary 10x100g,Active - PL,24. Bakery,10,1500 g,- None -,60,No,Panificio Bo_PL Longos,- None -,- None -,- None -,- None -,,,,,,290,,290,- None -,288,9/30/2026,14,.47,0,,,,- None -,- None -,0,0,0,0,0,365
VLONGOSFOC02-CA,6610,Longos Curato Focaccia Olive 10x100g,Active - PL,24. Bakery,10,1500 g,- None -,60,No,Panificio Bo_PL Longos,- None -,- None -,- None -,- None -,,,,,,440,,440,- None -,432,9/30/2026,14,.47,0,,,,- None -,- None -,0,0,0,0,0,365
VLONGOSGNO-CA,6616,Longos Curato Gnocchi 12x500g,Active - PL,11. Gnocchi,12,5458 g,- None -,100,No,Ciemme_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,480,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,365
VLONGOSGNOGF-CA,6618,Longos Curato Gnocchi Gluten Free 12x500g,Active - PL,09. Gluten Free Pasta,12,6408 g,- None -,140,No,Ciemme_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,480,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,365
VLONGOSRED01-CA,3547,Longos Curato Red Wine Vinegar 12x500ml,Active - PL,20. Vinegars,12,12300 g,- None -,100,No,Colavita_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,816,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,1095
VLONGOTAG01-CA,7107,Longos Curato Tagliatelle Egg Nest pasta 20x250g,Active - PL,05. Egg Pasta,20,5000 g,- None -,100,No,Alguazas_PL Longos,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,730
VSHON500A-T-CA,6430,Vita Sana Honey (Truffle) 6x500g,Do not Order,16. Sauces,6,3360 g,- None -,100,No,La Ife,- None -,- None -,- None -,- None -,,,,,,,,,- None -,,,0,0,0,,,,- None -,- None -,0,0,0,0,0,547
